0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/css/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/css/flaticon.css HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/css/font-awesome.min.css HTTP/1.1" 200 27466
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/css/animate.css HTTP/1.1" 200 77758
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/css/style.css HTTP/1.1" 200 169661
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/css/gijgo.min.css HTTP/1.1" 200 43651
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/css/magnific-popup.css HTTP/1.1" 200 5259
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/css/style.map HTTP/1.1" 200 202819
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/css/nice-select.css HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/css/slick.css HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /js/bootstrap.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/bootstrap.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/css/themify-icons.css HTTP/1.1" 200 16450
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/aos.js HTTP/1.1" 200 14243
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/css/swiper.min.css HTTP/1.1" 200 19773
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/httpRequest.js HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/custom.js HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/gijgo.min.js HTTP/1.1" 200 177487
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/contact.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/jquery.magnific-popup.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/jquery.form.js HTTP/1.1" 200 41095
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/jquery.ajaxchimp.min.js HTTP/1.1" 200 4820
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/gmaps.min.js HTTP/1.1" 200 31794
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/jquery.easing.min.js HTTP/1.1" 200 5564
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/mail-script.js HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/masonry.pkgd.min.js HTTP/1.1" 200 28953
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/jquery.nice-select.min.js HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/jquery.validate.min.js HTTP/1.1" 200 21068
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/masonry.pkgd.js HTTP/1.1" 200 63316
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/jquery-1.12.1.min.js HTTP/1.1" 200 97403
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/popper.min.js HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/swiper_custom.js HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/jquery-3.3.1.slim.min.js HTTP/1.1" 200 69917
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/particles.min.js HTTP/1.1" 200 23364
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/slick.min.js HTTP/1.1" 200 33293
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/js/jquery-1.12.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/js/popper.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/summernote/css/summernote-lite.css HTTP/1.1" 200 31073
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/summernote/js/summernote-lite.js HTTP/1.1" 200 355299
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/summernote/lang/summernote-ko-KR.js HTTP/1.1" 200 9652
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/js/swiper.min.js HTTP/1.1" 200 122735
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/js/jquery.magnific-popup.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/js/bootstrap.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/js/masonry.pkgd.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/js/jquery.nice-select.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/js/owl.carousel.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/js/gijgo.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/js/custom.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/js/jquery.form.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/js/mail-script.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/js/jquery.validate.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/js/jquery.ajaxchimp.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/js/contact.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/upload/materials/mainlogo.png HTTP/1.1" 200 31048
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/fonts/MICEGothic.woff HTTP/1.1" 200 460612
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/fonts/themify.woff?-fvbane HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/fonts/MICEGothic%20Bold.woff HTTP/1.1" 200 456316
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/upload/materials/cruise5.mp4 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/img/ind/industries_3.png HTTP/1.1" 200 226213
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/img/ind/industries_1.png HTTP/1.1" 200 183272
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/img/ind/industries_2.png HTTP/1.1" 200 229519
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/fonts/The%20Jamsil%202%20Light.ttf HTTP/1.1" 200 938228
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/resources/upload/materials/cruise5.mp4 HTTP/1.1" 206 41312256
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:44 +0900] "GET /kisland/img/favicon.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:47 +0900] "GET /kisland/cat4/shipcompany HTTP/1.1" 500 40409
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:48 +0900] "GET /kisland/resources/upload/materials/cruise5.mp4 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:49 +0900] "GET /kisland/resources/upload/materials/cruise5.mp4 HTTP/1.1" 206 58818560
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:51 +0900] "GET /kisland/cat4/consulting HTTP/1.1" 500 40553
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:52 +0900] "GET /kisland/resources/upload/materials/cruise5.mp4 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:52 +0900] "GET /kisland/resources/upload/materials/cruise5.mp4 HTTP/1.1" 206 61659211
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:54 +0900] "GET /kisland/cat4/travelready HTTP/1.1" 500 40564
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:55 +0900] "GET /kisland/resources/upload/materials/cruise5.mp4 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [09/Oct/2023:16:54:55 +0900] "GET /kisland/resources/upload/materials/cruise5.mp4 HTTP/1.1" 206 61659211
